,tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_winner_sets,player_2_winner_sets,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
172,French Open,Clay,1st Round,Paul T.,Stricker D.,17.0,116.0,3.0,0.0,1.33,3.4,1.42,3.14,1
174,French Open,Clay,1st Round,Ruud C.,Ymer E.,4.0,155.0,3.0,0.0,1.06,10.0,1.07,12.36,1
176,French Open,Clay,1st Round,Olivieri G.,Mpetshi G.,231.0,237.0,3.0,2.0,1.67,2.2,1.74,2.23,1
178,French Open,Clay,1st Round,Purcell M.,Thompson J.,68.0,76.0,3.0,1.0,2.1,1.73,2.23,1.74,1
180,French Open,Clay,1st Round,Zverev A.,Harris L.,27.0,294.0,3.0,0.0,1.05,11.0,1.06,12.71,1
182,French Open,Clay,1st Round,Seyboth Wild T.,Medvedev D.,172.0,2.0,3.0,2.0,11.0,1.05,10.69,1.08,1
184,French Open,Clay,1st Round,Cerundolo F.,Munar J.,23.0,81.0,3.0,1.0,1.3,3.5,1.26,4.38,1
186,French Open,Clay,1st Round,Pella G.,Halys Q.,423.0,88.0,3.0,2.0,3.2,1.36,3.4,1.37,1
188,French Open,Clay,1st Round,Fritz T.,Mmoh M.,8.0,123.0,3.0,0.0,1.02,19.0,1.04,16.94,1
190,French Open,Clay,1st Round,Hanfmann Y.,Monteiro T.,65.0,98.0,3.0,2.0,1.36,3.2,1.37,3.39,1
192,French Open,Clay,2nd Round,Fognini F.,Kubler J.,130.0,69.0,3.0,0.0,1.5,2.63,1.58,2.55,1
194,French Open,Clay,2nd Round,Tsitsipas S.,Carballes Baena R.,5.0,57.0,3.0,0.0,1.08,8.0,1.09,9.81,1
196,French Open,Clay,2nd Round,Kokkinakis T.,Wawrinka S.,108.0,89.0,3.0,2.0,2.0,1.8,2.19,1.76,1
198,French Open,Clay,2nd Round,Shapovalov D.,Arnaldi M.,32.0,106.0,3.0,1.0,2.1,1.73,2.12,1.81,1
200,French Open,Clay,2nd Round,Alcaraz C.,Daniel T.,1.0,112.0,3.0,1.0,1.02,21.0,1.03,25.16,1
202,French Open,Clay,2nd Round,Hurkacz H.,Griekspoor T.,14.0,39.0,3.0,2.0,1.4,3.0,1.39,3.28,1
204,French Open,Clay,2nd Round,Norrie C.,Pouille L.,13.0,675.0,3.0,0.0,1.25,4.0,1.28,4.07,1
206,French Open,Clay,2nd Round,Musetti L.,Shevchenko A.,18.0,87.0,3.0,0.0,1.29,3.75,1.25,4.45,1
208,French Open,Clay,2nd Round,Coric B.,Cachin P.,16.0,64.0,3.0,2.0,1.36,3.2,1.42,3.13,1
210,French Open,Clay,2nd Round,Ruud C.,Zeppieri G.,4.0,129.0,3.0,1.0,1.08,8.0,1.09,9.44,1
212,French Open,Clay,2nd Round,Nishioka Y.,Purcell M.,33.0,68.0,3.0,1.0,1.36,3.2,1.37,3.37,1
214,French Open,Clay,2nd Round,Seyboth Wild T.,Pella G.,172.0,423.0,3.0,1.0,1.36,3.2,1.44,3.05,1
216,French Open,Clay,2nd Round,Tiafoe F.,Karatsev A.,12.0,62.0,3.0,1.0,1.91,1.91,1.95,1.95,1
218,French Open,Clay,2nd Round,Jarry N.,Paul T.,35.0,17.0,3.0,1.0,1.62,2.3,1.6,2.52,1
220,French Open,Clay,2nd Round,Cerundolo F.,Hanfmann Y.,23.0,65.0,3.0,0.0,1.44,2.75,1.47,3.0,1
222,French Open,Clay,2nd Round,Fritz T.,Rinderknech A.,8.0,78.0,3.0,1.0,1.11,6.5,1.13,7.12,1
224,French Open,Clay,3rd Round,Khachanov K.,Kokkinakis T.,11.0,108.0,3.0,1.0,1.29,3.75,1.26,4.39,1
226,French Open,Clay,3rd Round,Ofner S.,Fognini F.,118.0,130.0,3.0,2.0,2.2,1.67,2.28,1.71,1
228,French Open,Clay,3rd Round,Musetti L.,Norrie C.,18.0,13.0,3.0,0.0,1.53,2.5,1.54,2.65,1
230,French Open,Clay,3rd Round,Varillas J.P.,Hurkacz H.,94.0,14.0,3.0,2.0,3.0,1.4,3.08,1.43,1
232,French Open,Clay,3rd Round,Ruud C.,Zhang Zh.,4.0,71.0,3.0,1.0,1.13,6.0,1.13,7.13,1
234,French Open,Clay,3rd Round,Etcheverry T.,Coric B.,49.0,16.0,3.0,0.0,1.67,2.2,1.7,2.28,1
