,tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_winner_sets,player_2_winner_sets,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
406,US Open,Hard,1st Round,Mcdonald M.,Auger-Aliassime F.,40.0,15.0,3.0,1.0,2.2,1.67,2.19,1.76,1
408,US Open,Hard,1st Round,Bonzi B.,Halys Q.,108.0,70.0,3.0,1.0,2.38,1.57,2.74,1.52,1
410,US Open,Hard,1st Round,Gaston H.,Shimabukuro S.,99.0,158.0,3.0,0.0,1.8,2.0,1.79,2.14,1
412,US Open,Hard,1st Round,Gojo B.,Dellien H.,105.0,147.0,3.0,0.0,1.13,6.0,1.14,6.76,1
414,US Open,Hard,1st Round,Berrettini M.,Humbert U.,36.0,33.0,3.0,0.0,1.57,2.38,1.52,2.72,1
416,US Open,Hard,1st Round,Arnaldi M.,Kubler J.,61.0,87.0,1.0,0.0,1.8,2.0,2.01,1.89,1
418,US Open,Hard,1st Round,Fils A.,Griekspoor T.,48.0,24.0,3.0,2.0,2.38,1.57,2.44,1.63,1
420,US Open,Hard,1st Round,Rinderknech A.,Schwartzman D.,73.0,114.0,3.0,0.0,2.3,1.62,2.23,1.74,1
422,US Open,Hard,1st Round,Medvedev D.,Balazs A.,3.0,,3.0,0.0,1.0,67.0,1.01,64.19,1
424,US Open,Hard,1st Round,Michelsen A.,Ramos-Vinolas A.,127.0,88.0,3.0,0.0,1.29,3.75,1.35,3.51,1
426,US Open,Hard,1st Round,Norrie C.,Shevchenko A.,16.0,83.0,3.0,0.0,1.2,4.5,1.23,4.77,1
428,US Open,Hard,1st Round,Hsu Y.,Kokkinakis T.,237.0,78.0,3.0,1.0,5.0,1.17,5.64,1.18,1
430,US Open,Hard,1st Round,Baez S.,Coric B.,32.0,23.0,3.0,0.0,2.63,1.5,2.79,1.5,1
432,US Open,Hard,1st Round,Isner J.,Diaz Acosta F.,157.0,94.0,3.0,0.0,1.4,3.0,1.39,3.29,1
434,US Open,Hard,1st Round,Van De Zandschulp B.,Thompson J.,65.0,51.0,1.0,0.0,3.0,1.4,2.98,1.45,1
436,US Open,Hard,1st Round,Evans D.,Galan D.E.,28.0,71.0,3.0,0.0,1.33,3.4,1.39,3.3,1
438,US Open,Hard,1st Round,Wu Y.,Lajovic D.,86.0,52.0,3.0,2.0,1.8,2.0,1.98,1.93,1
440,US Open,Hard,1st Round,Hurkacz H.,Huesler M.A.,17.0,97.0,3.0,2.0,1.07,9.0,1.08,10.98,1
442,US Open,Hard,1st Round,Etcheverry T.,Virtanen O.,34.0,133.0,3.0,2.0,1.53,2.5,1.6,2.5,1
444,US Open,Hard,1st Round,Sinner J.,Hanfmann Y.,6.0,54.0,3.0,0.0,1.03,17.0,1.04,18.84,1
446,US Open,Hard,2nd Round,Gojo B.,Mcdonald M.,105.0,40.0,3.0,0.0,2.75,1.44,2.86,1.48,1
448,US Open,Hard,2nd Round,Djere L.,Gaston H.,38.0,99.0,3.0,0.0,1.44,2.75,1.52,2.71,1
450,US Open,Hard,2nd Round,Bonzi B.,Eubanks C.,108.0,30.0,3.0,1.0,2.63,1.5,2.67,1.54,1
452,US Open,Hard,2nd Round,Vesely J.,Cerundolo F.,437.0,20.0,3.0,2.0,4.5,1.2,4.54,1.24,1
454,US Open,Hard,2nd Round,Shelton B.,Thiem D.,47.0,81.0,1.0,0.0,1.73,2.1,1.86,2.05,1
456,US Open,Hard,2nd Round,Paul T.,Safiullin R.,14.0,60.0,3.0,2.0,1.3,3.5,1.28,4.12,1
458,US Open,Hard,2nd Round,Mensik J.,Droguet T.,206.0,171.0,3.0,1.0,1.67,2.2,1.78,2.17,1
460,US Open,Hard,2nd Round,Tiafoe F.,Ofner S.,10.0,58.0,3.0,0.0,1.17,5.0,1.15,6.54,1
462,US Open,Hard,2nd Round,Sinner J.,Sonego L.,6.0,39.0,3.0,0.0,1.11,6.5,1.11,8.19,1
464,US Open,Hard,2nd Round,Draper J.,Hurkacz H.,123.0,17.0,3.0,0.0,2.63,1.5,2.82,1.5,1
466,US Open,Hard,2nd Round,Dimitrov G.,Murray A.,19.0,37.0,3.0,0.0,1.8,2.0,1.73,2.24,1
468,US Open,Hard,2nd Round,Arnaldi M.,Fils A.,61.0,48.0,3.0,2.0,2.3,1.62,2.54,1.58,1
470,US Open,Hard,2nd Round,Wawrinka S.,Etcheverry T.,49.0,34.0,3.0,1.0,1.3,3.5,1.31,3.8,1
472,US Open,Hard,2nd Round,Jarry N.,Michelsen A.,25.0,127.0,3.0,1.0,1.62,2.3,1.6,2.51,1
474,US Open,Hard,2nd Round,Evans D.,Van De Zandschulp B.,28.0,65.0,3.0,1.0,1.57,2.38,1.56,2.62,1
476,US Open,Hard,2nd Round,Alcaraz C.,Harris L.,1.0,177.0,3.0,0.0,1.03,15.0,1.02,26.53,1
478,US Open,Hard,3rd Round,Paul T.,Davidovich Fokina A.,14.0,21.0,3.0,1.0,1.67,2.2,1.67,2.35,1
480,US Open,Hard,3rd Round,Tiafoe F.,Mannarino A.,10.0,35.0,3.0,1.0,1.29,3.75,1.3,3.9,1
482,US Open,Hard,3rd Round,Stricker D.,Bonzi B.,128.0,108.0,3.0,2.0,1.67,2.2,1.66,2.38,1
484,US Open,Hard,3rd Round,Gojo B.,Vesely J.,105.0,437.0,3.0,0.0,1.3,3.5,1.34,3.61,1
486,US Open,Hard,3rd Round,Draper J.,Mmoh M.,123.0,89.0,3.0,1.0,1.33,3.4,1.34,3.6,1
488,US Open,Hard,3rd Round,Arnaldi M.,Norrie C.,61.0,16.0,3.0,0.0,4.33,1.22,3.94,1.3,1
490,US Open,Hard,3rd Round,Sinner J.,Wawrinka S.,6.0,49.0,3.0,1.0,1.11,6.5,1.12,7.73,1
492,US Open,Hard,3rd Round,Zverev A.,Dimitrov G.,12.0,19.0,3.0,1.0,1.4,3.0,1.49,2.84,1
494,US Open,Hard,4th Round,Shelton B.,Paul T.,47.0,14.0,3.0,1.0,3.4,1.33,3.55,1.35,1
496,US Open,Hard,4th Round,Fritz T.,Stricker D.,9.0,128.0,3.0,0.0,1.11,6.5,1.15,6.37,1
498,US Open,Hard,4th Round,Alcaraz C.,Arnaldi M.,1.0,61.0,3.0,0.0,1.02,19.0,1.03,24.65,1
500,US Open,Hard,4th Round,Medvedev D.,De Minaur A.,3.0,13.0,3.0,1.0,1.36,3.2,1.38,3.35,1
502,US Open,Hard,Quarterfinals,Djokovic N.,Fritz T.,2.0,9.0,3.0,0.0,1.13,6.0,1.14,6.8,1
504,US Open,Hard,Quarterfinals,Medvedev D.,Rublev A.,3.0,8.0,3.0,0.0,1.36,3.2,1.39,3.3,1
506,US Open,Hard,Semifinals,Djokovic N.,Shelton B.,2.0,47.0,3.0,0.0,1.06,10.0,1.09,9.76,1
508,US Open,Hard,The Final,Djokovic N.,Medvedev D.,2.0,3.0,3.0,0.0,1.44,2.88,1.46,2.95,1
1,Australian Open,Hard,1st Round,Wu Y.,Moutet C.,114.0,62.0,2.0,3.0,1.57,2.38,1.65,2.4,2
3,Australian Open,Hard,1st Round,Ivashka I.,Van De Zandschulp B.,73.0,34.0,1.0,3.0,3.2,1.36,2.91,1.47,2
5,Australian Open,Hard,1st Round,Edmund K.,Sinner J.,581.0,16.0,0.0,3.0,10.0,1.06,15.72,1.05,2
7,Australian Open,Hard,1st Round,Otte O.,Shang J.,74.0,194.0,1.0,3.0,1.44,2.75,1.48,2.86,2
9,Australian Open,Hard,1st Round,Garin C.,Korda S.,87.0,31.0,1.0,3.0,8.0,1.08,9.05,1.1,2
11,Australian Open,Hard,1st Round,Lajovic D.,Shapovalov D.,86.0,22.0,1.0,3.0,8.0,1.08,9.82,1.09,2
13,Australian Open,Hard,1st Round,Nakashima B.,Mcdonald M.,49.0,65.0,2.0,3.0,1.53,2.5,1.56,2.59,2
15,Australian Open,Hard,1st Round,Altmaier D.,Tiafoe F.,92.0,17.0,1.0,3.0,7.0,1.1,8.65,1.1,2
17,Australian Open,Hard,1st Round,Escobedo E.,Daniel T.,313.0,94.0,1.0,3.0,2.38,1.57,2.57,1.57,2
19,Australian Open,Hard,1st Round,Coric B.,Lehecka J.,23.0,71.0,0.0,3.0,1.36,3.2,1.38,3.34,2
21,Australian Open,Hard,1st Round,Munar J.,Svrcina D.,64.0,216.0,0.0,3.0,1.44,2.75,1.52,2.74,2
23,Australian Open,Hard,1st Round,Kwon S.W.,Eubanks C.,52.0,116.0,2.0,3.0,1.57,2.38,1.55,2.65,2
25,Australian Open,Hard,1st Round,Wawrinka S.,Molcan A.,139.0,53.0,2.0,3.0,1.29,3.75,1.3,3.89,2
27,Australian Open,Hard,1st Round,Van Assche L.,Norrie C.,143.0,12.0,0.0,3.0,10.0,1.06,11.47,1.07,2
29,Australian Open,Hard,1st Round,Halys Q.,Tsitsipas S.,61.0,4.0,0.0,3.0,5.5,1.14,6.96,1.14,2
31,Australian Open,Hard,1st Round,Musetti L.,Harris L.,19.0,186.0,2.0,3.0,1.33,3.4,1.34,3.61,2
33,Australian Open,Hard,1st Round,Thiem D.,Rublev A.,98.0,6.0,0.0,3.0,4.0,1.25,4.13,1.28,2
35,Australian Open,Hard,1st Round,Bagnis F.,Evans D.,91.0,30.0,1.0,3.0,6.5,1.11,7.05,1.14,2
37,Australian Open,Hard,1st Round,Karatsev A.,Dimitrov G.,82.0,28.0,0.0,3.0,3.0,1.4,3.17,1.41,2
39,Australian Open,Hard,1st Round,Krutykh O.,Schwartzman D.,188.0,26.0,1.0,3.0,2.63,1.5,2.52,1.58,2
41,Australian Open,Hard,1st Round,Bublik A.,Davidovich Fokina A.,36.0,32.0,2.0,3.0,2.1,1.73,2.2,1.76,2
43,Australian Open,Hard,1st Round,Thompson J.,Wolf J.J.,88.0,67.0,1.0,3.0,2.38,1.57,2.39,1.65,2
45,Australian Open,Hard,1st Round,Krajinovic F.,Rune H.,54.0,10.0,0.0,3.0,5.5,1.14,5.65,1.18,2
47,Australian Open,Hard,1st Round,Berrettini M.,Murray A.,14.0,66.0,2.0,3.0,1.25,4.0,1.24,4.62,2
49,Australian Open,Hard,1st Round,Struff J.L.,Paul T.,167.0,35.0,0.0,3.0,3.0,1.4,3.24,1.4,2
51,Australian Open,Hard,1st Round,Hsu Y.,De Minaur A.,209.0,24.0,0.0,3.0,13.0,1.04,13.57,1.06,2
53,Australian Open,Hard,1st Round,Machac T.,Ruud C.,110.0,3.0,1.0,3.0,5.0,1.17,5.52,1.19,2
55,Australian Open,Hard,1st Round,Purcell M.,Ruusuvuori E.,205.0,46.0,1.0,3.0,3.2,1.36,3.18,1.41,2
57,Australian Open,Hard,1st Round,Safiullin R.,Kudla D.,97.0,108.0,1.0,3.0,1.36,3.2,1.35,3.47,2
59,Australian Open,Hard,1st Round,Isner J.,Mannarino A.,43.0,45.0,1.0,3.0,1.8,2.0,1.9,2.01,2
61,Australian Open,Hard,1st Round,Sousa J.,Bautista Agut R.,81.0,25.0,0.0,3.0,8.0,1.08,9.27,1.09,2
63,Australian Open,Hard,1st Round,Ramos-Vinolas A.,Cressy M.,37.0,41.0,1.0,3.0,3.2,1.36,3.17,1.41,2
65,Australian Open,Hard,2nd Round,Etcheverry T.,Sinner J.,79.0,16.0,0.0,3.0,11.0,1.05,17.66,1.04,2
67,Australian Open,Hard,2nd Round,Nadal R.,Mcdonald M.,2.0,65.0,0.0,3.0,1.07,9.0,1.09,9.06,2
69,Australian Open,Hard,2nd Round,Harris L.,Fucsovics M.,186.0,78.0,1.0,3.0,2.0,1.8,1.98,1.91,2
71,Australian Open,Hard,2nd Round,Millman J.,Medvedev D.,140.0,8.0,0.0,3.0,19.0,1.02,27.6,1.02,2
73,Australian Open,Hard,2nd Round,Moutet C.,Cerundolo F.,62.0,29.0,1.0,3.0,1.91,1.91,1.85,2.05,2
75,Australian Open,Hard,2nd Round,Sonego L.,Hurkacz H.,47.0,11.0,2.0,3.0,4.0,1.25,4.05,1.29,2
77,Australian Open,Hard,2nd Round,Watanuki Y.,Korda S.,138.0,31.0,0.0,3.0,4.33,1.22,5.01,1.21,2
79,Australian Open,Hard,2nd Round,Eubanks C.,Lehecka J.,116.0,71.0,1.0,3.0,2.75,1.44,2.9,1.46,2
81,Australian Open,Hard,2nd Round,Chardy J.,Evans D.,,30.0,0.0,3.0,6.0,1.13,7.49,1.13,2
83,Australian Open,Hard,2nd Round,Ruud C.,Brooksby J.,3.0,39.0,1.0,3.0,1.33,3.4,1.34,3.61,2
85,Australian Open,Hard,2nd Round,Jarry N.,Shelton B.,154.0,89.0,0.0,3.0,2.0,1.8,2.06,1.85,2
87,Australian Open,Hard,2nd Round,Fritz T.,Popyrin A.,9.0,113.0,2.0,3.0,1.11,6.5,1.11,8.3,2
89,Australian Open,Hard,2nd Round,Zverev A.,Mmoh M.,13.0,107.0,1.0,3.0,1.2,4.5,1.2,5.26,2
91,Australian Open,Hard,2nd Round,Cressy M.,Rune H.,41.0,10.0,0.0,3.0,5.0,1.17,5.21,1.2,2
93,Australian Open,Hard,2nd Round,Carreno Busta P.,Bonzi B.,15.0,48.0,2.0,3.0,1.36,3.2,1.37,3.41,2
95,Australian Open,Hard,2nd Round,Couacaud E.,Djokovic N.,191.0,5.0,1.0,3.0,29.0,1.01,42.0,1.01,2
97,Australian Open,Hard,3rd Round,Fucsovics M.,Sinner J.,78.0,16.0,2.0,3.0,7.0,1.1,7.22,1.13,2
99,Australian Open,Hard,3rd Round,Mcdonald M.,Nishioka Y.,65.0,33.0,0.0,3.0,2.38,1.57,2.49,1.61,2
101,Australian Open,Hard,3rd Round,Norrie C.,Lehecka J.,12.0,71.0,2.0,3.0,1.33,3.4,1.29,4.04,2
103,Australian Open,Hard,3rd Round,Tiafoe F.,Khachanov K.,17.0,20.0,1.0,3.0,1.8,2.0,1.86,2.06,2
105,Australian Open,Hard,3rd Round,Evans D.,Rublev A.,30.0,6.0,0.0,3.0,3.5,1.3,3.46,1.36,2
107,Australian Open,Hard,3rd Round,Bonzi B.,De Minaur A.,48.0,24.0,0.0,3.0,4.33,1.22,4.78,1.23,2
109,Australian Open,Hard,3rd Round,Mmoh M.,Wolf J.J.,107.0,67.0,0.0,3.0,3.4,1.33,3.52,1.35,2
111,Australian Open,Hard,3rd Round,Murray A.,Bautista Agut R.,66.0,25.0,1.0,3.0,3.4,1.33,3.41,1.37,2
113,Australian Open,Hard,4th Round,Hurkacz H.,Korda S.,11.0,31.0,2.0,3.0,2.5,1.53,2.41,1.64,2
115,Australian Open,Hard,4th Round,Auger-Aliassime F.,Lehecka J.,7.0,71.0,1.0,3.0,1.2,4.5,1.23,4.72,2
117,Australian Open,Hard,4th Round,Wolf J.J.,Shelton B.,67.0,89.0,2.0,3.0,1.91,1.91,1.9,2.0,2
119,Australian Open,Hard,4th Round,Bautista Agut R.,Paul T.,25.0,35.0,1.0,3.0,2.1,1.73,2.18,1.77,2
121,Australian Open,Hard,Quarterfinals,Korda S.,Khachanov K.,31.0,20.0,0.0,2.0,1.8,2.0,1.8,2.13,2
123,Australian Open,Hard,Quarterfinals,Shelton B.,Paul T.,89.0,35.0,1.0,3.0,3.4,1.33,3.67,1.33,2
125,Australian Open,Hard,Semifinals,Khachanov K.,Tsitsipas S.,20.0,4.0,1.0,3.0,3.5,1.3,3.95,1.3,2
127,Australian Open,Hard,The Final,Tsitsipas S.,Djokovic N.,4.0,5.0,0.0,3.0,4.8,1.2,4.85,1.22,2
129,French Open,Clay,1st Round,Goffin D.,Hurkacz H.,111.0,14.0,2.0,3.0,3.2,1.36,3.4,1.37,2
131,French Open,Clay,1st Round,Martinez P.,Griekspoor T.,135.0,39.0,2.0,3.0,1.73,2.1,1.79,2.15,2
133,French Open,Clay,1st Round,Evans D.,Kokkinakis T.,25.0,108.0,0.0,3.0,1.8,2.0,1.88,2.02,2
135,French Open,Clay,1st Round,Vesely J.,Tsitsipas S.,455.0,5.0,1.0,3.0,19.0,1.02,22.09,1.02,2
137,French Open,Clay,1st Round,Isner J.,Borges N.,90.0,80.0,2.0,3.0,3.0,1.4,3.15,1.41,2
139,French Open,Clay,1st Round,Galan D.E.,Arnaldi M.,91.0,106.0,1.0,3.0,2.75,1.44,2.63,1.55,2
141,French Open,Clay,1st Round,Ymer M.,Musetti L.,56.0,18.0,0.0,3.0,4.5,1.2,5.02,1.21,2
143,French Open,Clay,1st Round,Cazaux A.,Moutet C.,190.0,61.0,1.0,3.0,2.0,1.8,1.93,1.98,2
145,French Open,Clay,1st Round,Otte O.,Shevchenko A.,120.0,87.0,1.0,3.0,3.0,1.4,2.94,1.46,2
147,French Open,Clay,1st Round,Rodionov J.,Pouille L.,134.0,675.0,0.0,3.0,2.1,1.73,2.21,1.75,2
149,French Open,Clay,1st Round,Paire B.,Norrie C.,149.0,13.0,2.0,3.0,6.5,1.11,7.45,1.13,2
151,French Open,Clay,1st Round,Shang J.,Varillas J.P.,200.0,94.0,2.0,3.0,2.38,1.57,2.57,1.57,2
153,French Open,Clay,1st Round,Draper J.,Etcheverry T.,55.0,49.0,0.0,1.0,2.2,1.67,2.21,1.75,2
155,French Open,Clay,1st Round,Wu Y.,Bautista Agut R.,54.0,24.0,0.0,3.0,3.0,1.4,3.19,1.41,2
157,French Open,Clay,1st Round,Ramos-Vinolas A.,Wawrinka S.,67.0,89.0,2.0,3.0,3.2,1.36,3.07,1.43,2
159,French Open,Clay,1st Round,Kovacevic A.,Djokovic N.,114.0,3.0,0.0,3.0,29.0,1.01,37.53,1.02,2
161,French Open,Clay,1st Round,Coria F.,Coric B.,96.0,16.0,1.0,3.0,6.0,1.13,7.64,1.12,2
163,French Open,Clay,1st Round,Medjedovic H.,Giron M.,168.0,75.0,1.0,3.0,1.73,2.1,1.8,2.13,2
165,French Open,Clay,1st Round,Fils A.,Davidovich Fokina A.,63.0,34.0,1.0,3.0,3.2,1.36,3.37,1.37,2
167,French Open,Clay,1st Round,Huesler M.A.,Altmaier D.,84.0,79.0,0.0,3.0,3.2,1.36,2.99,1.45,2
169,French Open,Clay,1st Round,Lajovic D.,Zhang Zh.,53.0,71.0,0.0,1.0,1.53,2.5,1.51,2.78,2
171,French Open,Clay,1st Round,Muller A.,Sinner J.,101.0,9.0,0.0,3.0,15.0,1.03,15.4,1.05,2
173,French Open,Clay,1st Round,Dellien H.,Jarry N.,160.0,35.0,0.0,3.0,4.5,1.2,4.61,1.24,2
175,French Open,Clay,1st Round,Wolf J.J.,Nishioka Y.,50.0,33.0,2.0,3.0,1.8,2.0,1.75,2.21,2
177,French Open,Clay,1st Round,Kecmanovic M.,Vavassori A.,37.0,148.0,2.0,3.0,1.4,3.0,1.48,2.86,2
179,French Open,Clay,1st Round,Gaston H.,Molcan A.,109.0,86.0,0.0,3.0,2.38,1.57,2.38,1.65,2
181,French Open,Clay,1st Round,Bublik A.,Zeppieri G.,51.0,129.0,2.0,3.0,2.1,1.73,2.09,1.83,2
183,French Open,Clay,1st Round,Barrere G.,Ruusuvuori E.,58.0,46.0,2.0,3.0,2.5,1.53,2.39,1.63,2
185,French Open,Clay,1st Round,Eubanks C.,Rune H.,74.0,6.0,1.0,3.0,19.0,1.02,18.32,1.04,2
187,French Open,Clay,1st Round,Gasquet R.,Rinderknech A.,52.0,78.0,1.0,3.0,1.67,2.2,1.71,2.27,2
189,French Open,Clay,1st Round,Skatov T.,Dimitrov G.,147.0,29.0,0.0,3.0,7.0,1.1,7.0,1.14,2
191,French Open,Clay,1st Round,Baez S.,Monfils G.,42.0,394.0,2.0,3.0,1.33,3.4,1.38,3.31,2
193,French Open,Clay,2nd Round,Korda S.,Ofner S.,30.0,118.0,0.0,3.0,1.53,2.5,1.53,2.7,2
195,French Open,Clay,2nd Round,Humbert U.,Sonego L.,40.0,48.0,0.0,3.0,1.73,2.1,1.74,2.23,2
197,French Open,Clay,2nd Round,Borges N.,Schwartzman D.,80.0,95.0,0.0,3.0,2.1,1.73,2.24,1.73,2
199,French Open,Clay,2nd Round,Bautista Agut R.,Varillas J.P.,24.0,94.0,2.0,3.0,1.4,3.0,1.41,3.18,2
201,French Open,Clay,2nd Round,Albot R.,Khachanov K.,113.0,11.0,0.0,3.0,5.0,1.17,6.36,1.15,2
203,French Open,Clay,2nd Round,Van Assche L.,Davidovich Fokina A.,82.0,34.0,0.0,3.0,3.2,1.36,3.15,1.4,2
205,French Open,Clay,2nd Round,Moutet C.,Rublev A.,61.0,7.0,1.0,3.0,9.0,1.07,11.26,1.07,2
207,French Open,Clay,2nd Round,Fucsovics M.,Djokovic N.,83.0,3.0,0.0,3.0,11.0,1.05,17.69,1.04,2
209,French Open,Clay,2nd Round,De Minaur A.,Etcheverry T.,19.0,49.0,0.0,3.0,1.8,2.0,1.92,1.99,2
211,French Open,Clay,2nd Round,Sinner J.,Altmaier D.,9.0,79.0,2.0,3.0,1.08,8.0,1.1,8.93,2
213,French Open,Clay,2nd Round,Ruusuvuori E.,Dimitrov G.,46.0,29.0,0.0,3.0,2.75,1.44,3.16,1.41,2
215,French Open,Clay,2nd Round,Tirante T.A.,Zhang Zh.,153.0,71.0,0.0,3.0,2.38,1.57,2.43,1.63,2
217,French Open,Clay,2nd Round,Vavassori A.,Olivieri G.,148.0,231.0,1.0,3.0,1.36,3.2,1.36,3.43,2
219,French Open,Clay,2nd Round,Lehecka J.,Giron M.,41.0,75.0,0.0,3.0,1.44,2.75,1.48,2.86,2
221,French Open,Clay,2nd Round,Monfils G.,Rune H.,394.0,6.0,,,9.0,1.07,11.53,1.07,2
223,French Open,Clay,2nd Round,Molcan A.,Zverev A.,86.0,27.0,0.0,3.0,4.33,1.22,4.32,1.26,2
225,French Open,Clay,3rd Round,Rublev A.,Sonego L.,7.0,48.0,2.0,3.0,1.29,3.75,1.3,3.89,2
227,French Open,Clay,3rd Round,Davidovich Fokina A.,Djokovic N.,34.0,3.0,0.0,3.0,6.0,1.13,6.57,1.14,2
229,French Open,Clay,3rd Round,Schwartzman D.,Tsitsipas S.,95.0,5.0,0.0,3.0,7.0,1.1,9.41,1.09,2
231,French Open,Clay,3rd Round,Shapovalov D.,Alcaraz C.,32.0,1.0,0.0,3.0,13.0,1.04,11.9,1.07,2
233,French Open,Clay,3rd Round,Seyboth Wild T.,Nishioka Y.,172.0,33.0,2.0,3.0,1.5,2.63,1.55,2.64,2
235,French Open,Clay,3rd Round,Giron M.,Jarry N.,75.0,35.0,1.0,3.0,3.4,1.33,3.59,1.34,2
237,French Open,Clay,3rd Round,Fritz T.,Cerundolo F.,8.0,23.0,1.0,3.0,1.73,2.1,1.88,2.02,2
239,French Open,Clay,3rd Round,Tiafoe F.,Zverev A.,12.0,27.0,1.0,3.0,3.0,1.4,3.28,1.39,2
241,French Open,Clay,4th Round,Varillas J.P.,Djokovic N.,94.0,3.0,0.0,3.0,15.0,1.03,18.34,1.04,2
243,French Open,Clay,4th Round,Ofner S.,Tsitsipas S.,118.0,5.0,0.0,3.0,10.0,1.06,10.39,1.08,2
245,French Open,Clay,4th Round,Cerundolo F.,Rune H.,23.0,6.0,2.0,3.0,3.4,1.33,3.38,1.37,2
247,French Open,Clay,4th Round,Nishioka Y.,Etcheverry T.,33.0,49.0,0.0,3.0,4.33,1.22,4.7,1.23,2
249,French Open,Clay,Quarterfinals,Tsitsipas S.,Alcaraz C.,5.0,1.0,0.0,3.0,4.5,1.2,4.93,1.22,2
251,French Open,Clay,Quarterfinals,Rune H.,Ruud C.,6.0,4.0,1.0,3.0,2.1,1.73,2.06,1.86,2
253,French Open,Clay,Semifinals,Zverev A.,Ruud C.,27.0,4.0,0.0,3.0,1.91,1.91,1.95,1.95,2
255,Wimbledon,Grass,1st Round,Baez S.,Barrios M.,46.0,133.0,1.0,3.0,1.73,2.1,1.92,1.99,2
257,Wimbledon,Grass,1st Round,Van Assche L.,Karatsev A.,75.0,50.0,1.0,3.0,2.1,1.73,2.45,1.63,2
259,Wimbledon,Grass,1st Round,Purcell M.,Rublev A.,64.0,7.0,0.0,3.0,10.0,1.06,10.52,1.08,2
261,Wimbledon,Grass,1st Round,Ramos-Vinolas A.,Hurkacz H.,76.0,18.0,0.0,3.0,10.0,1.06,12.53,1.06,2
263,Wimbledon,Grass,1st Round,Auger-Aliassime F.,Mmoh M.,12.0,119.0,1.0,3.0,1.11,6.5,1.16,6.24,2
265,Wimbledon,Grass,1st Round,Marozsan F.,Goffin D.,96.0,123.0,1.0,3.0,2.75,1.44,2.64,1.54,2
267,Wimbledon,Grass,1st Round,Couacaud E.,Wolf J.J.,158.0,48.0,0.0,3.0,4.33,1.22,4.49,1.25,2
269,Wimbledon,Grass,1st Round,Lokoli L.,Ruud C.,199.0,4.0,1.0,3.0,5.0,1.17,5.9,1.17,2
271,Wimbledon,Grass,1st Round,Molcan A.,Ymer M.,83.0,59.0,0.0,3.0,2.75,1.44,3.1,1.43,2
273,Wimbledon,Grass,1st Round,Mcdonald M.,Bublik A.,54.0,26.0,1.0,3.0,2.75,1.44,2.78,1.51,2
275,Wimbledon,Grass,1st Round,Kecmanovic M.,Schwartzman D.,41.0,98.0,0.0,3.0,1.44,2.75,1.52,2.75,2
277,Wimbledon,Grass,1st Round,Nishioka Y.,Galan D.E.,27.0,85.0,0.0,3.0,1.73,2.1,1.72,2.25,2
279,Wimbledon,Grass,1st Round,Chardy J.,Alcaraz C.,542.0,1.0,0.0,3.0,29.0,1.01,34.08,1.02,2
281,Wimbledon,Grass,1st Round,Machac T.,Norrie C.,108.0,13.0,1.0,3.0,4.33,1.22,4.94,1.22,2
283,Wimbledon,Grass,1st Round,Zapata Miralles B.,Etcheverry T.,53.0,32.0,2.0,3.0,2.75,1.44,3.22,1.4,2
285,Wimbledon,Grass,1st Round,Borges N.,Cerundolo F.,69.0,19.0,1.0,3.0,4.33,1.22,4.12,1.28,2
287,Wimbledon,Grass,1st Round,Ofner S.,Lehecka J.,72.0,37.0,0.0,3.0,2.38,1.57,2.32,1.68,2
289,Wimbledon,Grass,1st Round,Shimabukuro S.,Dimitrov G.,162.0,24.0,0.0,3.0,11.0,1.05,11.25,1.07,2
291,Wimbledon,Grass,1st Round,Fery A.,Medvedev D.,391.0,3.0,0.0,3.0,29.0,1.01,39.1,1.02,2
293,Wimbledon,Grass,1st Round,Rinderknech A.,Muller A.,82.0,84.0,1.0,3.0,1.22,4.33,1.26,4.38,2
295,Wimbledon,Grass,1st Round,Bonzi B.,Mayot H.,94.0,181.0,0.0,3.0,2.3,1.62,2.39,1.66,2
297,Wimbledon,Grass,1st Round,Hanfmann Y.,Fritz T.,45.0,9.0,2.0,3.0,4.33,1.22,3.99,1.29,2
299,Wimbledon,Grass,1st Round,Thiem D.,Tsitsipas S.,91.0,5.0,2.0,3.0,5.0,1.17,5.45,1.19,2
301,Wimbledon,Grass,1st Round,Korda S.,Vesely J.,25.0,528.0,1.0,3.0,1.1,7.0,1.12,7.98,2
303,Wimbledon,Grass,1st Round,Dellien H.,Giron M.,171.0,65.0,0.0,3.0,15.0,1.03,17.68,1.04,2
305,Wimbledon,Grass,1st Round,Daniel T.,Shelton B.,106.0,36.0,2.0,3.0,3.2,1.36,3.18,1.41,2
307,Wimbledon,Grass,1st Round,Cressy M.,Djere L.,58.0,60.0,1.0,3.0,1.67,2.2,1.67,2.34,2
309,Wimbledon,Grass,1st Round,Fils A.,Davidovich Fokina A.,61.0,34.0,0.0,3.0,2.2,1.67,2.26,1.72,2
311,Wimbledon,Grass,1st Round,Arnaldi M.,Carballes Baena R.,80.0,57.0,1.0,3.0,1.44,2.75,1.51,2.77,2
313,Wimbledon,Grass,1st Round,Brouwer G.,Zverev A.,153.0,21.0,0.0,3.0,9.0,1.07,9.28,1.09,2
315,Wimbledon,Grass,1st Round,Coppejans K.,De Minaur A.,188.0,17.0,1.0,3.0,17.0,1.03,17.4,1.04,2
