tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
French Open,Clay,1st Round,Vavassori A.,Kecmanovic M.,148.0,37.0,3.0,1.4,2.86,1.48,1
French Open,Clay,1st Round,Molcan A.,Gaston H.,86.0,109.0,1.57,2.38,1.65,2.38,1
French Open,Clay,1st Round,Zeppieri G.,Bublik A.,129.0,51.0,1.73,2.1,1.83,2.09,1
French Open,Clay,1st Round,Ruusuvuori E.,Barrere G.,46.0,58.0,1.53,2.5,1.63,2.39,1
French Open,Clay,1st Round,Rune H.,Eubanks C.,6.0,74.0,1.02,19.0,1.04,18.32,1
French Open,Clay,1st Round,Rinderknech A.,Gasquet R.,78.0,52.0,2.2,1.67,2.27,1.71,1
French Open,Clay,1st Round,Dimitrov G.,Skatov T.,29.0,147.0,1.1,7.0,1.14,7.0,1
French Open,Clay,1st Round,Monfils G.,Baez S.,394.0,42.0,3.4,1.33,3.31,1.38,1
French Open,Clay,2nd Round,Ofner S.,Korda S.,118.0,30.0,2.5,1.53,2.7,1.53,1
French Open,Clay,2nd Round,Sonego L.,Humbert U.,48.0,40.0,2.1,1.73,2.23,1.74,1
French Open,Clay,2nd Round,Schwartzman D.,Borges N.,95.0,80.0,1.73,2.1,1.73,2.24,1
French Open,Clay,2nd Round,Varillas J.P.,Bautista Agut R.,94.0,24.0,3.0,1.4,3.18,1.41,1
French Open,Clay,2nd Round,Khachanov K.,Albot R.,11.0,113.0,1.17,5.0,1.15,6.36,1
French Open,Clay,2nd Round,Davidovich Fokina A.,Van Assche L.,34.0,82.0,1.36,3.2,1.4,3.15,1
French Open,Clay,2nd Round,Rublev A.,Moutet C.,7.0,61.0,1.07,9.0,1.07,11.26,1
French Open,Clay,2nd Round,Djokovic N.,Fucsovics M.,3.0,83.0,1.05,11.0,1.04,17.69,1
French Open,Clay,2nd Round,Etcheverry T.,De Minaur A.,49.0,19.0,2.0,1.8,1.99,1.92,1
French Open,Clay,2nd Round,Altmaier D.,Sinner J.,79.0,9.0,8.0,1.08,8.93,1.1,1
French Open,Clay,2nd Round,Dimitrov G.,Ruusuvuori E.,29.0,46.0,1.44,2.75,1.41,3.16,1
French Open,Clay,2nd Round,Zhang Zh.,Tirante T.A.,71.0,153.0,1.57,2.38,1.63,2.43,1
French Open,Clay,2nd Round,Olivieri G.,Vavassori A.,231.0,148.0,3.2,1.36,3.43,1.36,1
French Open,Clay,2nd Round,Giron M.,Lehecka J.,75.0,41.0,2.75,1.44,2.86,1.48,1
French Open,Clay,2nd Round,Rune H.,Monfils G.,6.0,394.0,1.07,9.0,1.07,11.53,1
French Open,Clay,2nd Round,Zverev A.,Molcan A.,27.0,86.0,1.22,4.33,1.26,4.32,1
French Open,Clay,3rd Round,Sonego L.,Rublev A.,48.0,7.0,3.75,1.29,3.89,1.3,1
French Open,Clay,3rd Round,Djokovic N.,Davidovich Fokina A.,3.0,34.0,1.13,6.0,1.14,6.57,1
French Open,Clay,3rd Round,Tsitsipas S.,Schwartzman D.,5.0,95.0,1.1,7.0,1.09,9.41,1
French Open,Clay,3rd Round,Alcaraz C.,Shapovalov D.,1.0,32.0,1.04,13.0,1.07,11.9,1
French Open,Clay,3rd Round,Nishioka Y.,Seyboth Wild T.,33.0,172.0,2.63,1.5,2.64,1.55,1
French Open,Clay,3rd Round,Jarry N.,Giron M.,35.0,75.0,1.33,3.4,1.34,3.59,1
French Open,Clay,3rd Round,Cerundolo F.,Fritz T.,23.0,8.0,2.1,1.73,2.02,1.88,1
French Open,Clay,3rd Round,Zverev A.,Tiafoe F.,27.0,12.0,1.4,3.0,1.39,3.28,1
French Open,Clay,4th Round,Djokovic N.,Varillas J.P.,3.0,94.0,1.03,15.0,1.04,18.34,1
French Open,Clay,4th Round,Tsitsipas S.,Ofner S.,5.0,118.0,1.06,10.0,1.08,10.39,1
French Open,Clay,4th Round,Rune H.,Cerundolo F.,6.0,23.0,1.33,3.4,1.37,3.38,1
French Open,Clay,4th Round,Etcheverry T.,Nishioka Y.,49.0,33.0,1.22,4.33,1.23,4.7,1
French Open,Clay,Quarterfinals,Alcaraz C.,Tsitsipas S.,1.0,5.0,1.2,4.5,1.22,4.93,1
French Open,Clay,Quarterfinals,Ruud C.,Rune H.,4.0,6.0,1.73,2.1,1.86,2.06,1
French Open,Clay,Semifinals,Ruud C.,Zverev A.,4.0,27.0,1.91,1.91,1.95,1.95,1
Wimbledon,Grass,1st Round,Barrios M.,Baez S.,133.0,46.0,2.1,1.73,1.99,1.92,1
Wimbledon,Grass,1st Round,Karatsev A.,Van Assche L.,50.0,75.0,1.73,2.1,1.63,2.45,1
Wimbledon,Grass,1st Round,Rublev A.,Purcell M.,7.0,64.0,1.06,10.0,1.08,10.52,1
Wimbledon,Grass,1st Round,Hurkacz H.,Ramos-Vinolas A.,18.0,76.0,1.06,10.0,1.06,12.53,1
Wimbledon,Grass,1st Round,Mmoh M.,Auger-Aliassime F.,119.0,12.0,6.5,1.11,6.24,1.16,1
Wimbledon,Grass,1st Round,Goffin D.,Marozsan F.,123.0,96.0,1.44,2.75,1.54,2.64,1
Wimbledon,Grass,1st Round,Wolf J.J.,Couacaud E.,48.0,158.0,1.22,4.33,1.25,4.49,1
Wimbledon,Grass,1st Round,Ruud C.,Lokoli L.,4.0,199.0,1.17,5.0,1.17,5.9,1
Wimbledon,Grass,1st Round,Ymer M.,Molcan A.,59.0,83.0,1.44,2.75,1.43,3.1,1
Wimbledon,Grass,1st Round,Bublik A.,Mcdonald M.,26.0,54.0,1.44,2.75,1.51,2.78,1
Wimbledon,Grass,1st Round,Schwartzman D.,Kecmanovic M.,98.0,41.0,2.75,1.44,2.75,1.52,1
Wimbledon,Grass,1st Round,Galan D.E.,Nishioka Y.,85.0,27.0,2.1,1.73,2.25,1.72,1
Wimbledon,Grass,1st Round,Alcaraz C.,Chardy J.,1.0,542.0,1.01,29.0,1.02,34.08,1
Wimbledon,Grass,1st Round,Norrie C.,Machac T.,13.0,108.0,1.22,4.33,1.22,4.94,1
Wimbledon,Grass,1st Round,Etcheverry T.,Zapata Miralles B.,32.0,53.0,1.44,2.75,1.4,3.22,1
Wimbledon,Grass,1st Round,Cerundolo F.,Borges N.,19.0,69.0,1.22,4.33,1.28,4.12,1
Wimbledon,Grass,1st Round,Lehecka J.,Ofner S.,37.0,72.0,1.57,2.38,1.68,2.32,1
Wimbledon,Grass,1st Round,Dimitrov G.,Shimabukuro S.,24.0,162.0,1.05,11.0,1.07,11.25,1
Wimbledon,Grass,1st Round,Medvedev D.,Fery A.,3.0,391.0,1.01,29.0,1.02,39.1,1
Wimbledon,Grass,1st Round,Muller A.,Rinderknech A.,84.0,82.0,4.33,1.22,4.38,1.26,1
Wimbledon,Grass,1st Round,Mayot H.,Bonzi B.,181.0,94.0,1.62,2.3,1.66,2.39,1
Wimbledon,Grass,1st Round,Fritz T.,Hanfmann Y.,9.0,45.0,1.22,4.33,1.29,3.99,1
Wimbledon,Grass,1st Round,Tsitsipas S.,Thiem D.,5.0,91.0,1.17,5.0,1.19,5.45,1
Wimbledon,Grass,1st Round,Vesely J.,Korda S.,528.0,25.0,7.0,1.1,7.98,1.12,1
Wimbledon,Grass,1st Round,Giron M.,Dellien H.,65.0,171.0,1.03,15.0,1.04,17.68,1
Wimbledon,Grass,1st Round,Shelton B.,Daniel T.,36.0,106.0,1.36,3.2,1.41,3.18,1
Wimbledon,Grass,1st Round,Djere L.,Cressy M.,60.0,58.0,2.2,1.67,2.34,1.67,1
Wimbledon,Grass,1st Round,Davidovich Fokina A.,Fils A.,34.0,61.0,1.67,2.2,1.72,2.26,1
Wimbledon,Grass,1st Round,Carballes Baena R.,Arnaldi M.,57.0,80.0,2.75,1.44,2.77,1.51,1
Wimbledon,Grass,1st Round,Zverev A.,Brouwer G.,21.0,153.0,1.07,9.0,1.09,9.28,1
Wimbledon,Grass,1st Round,De Minaur A.,Coppejans K.,17.0,188.0,1.03,17.0,1.04,17.4,1
Wimbledon,Grass,1st Round,Jarry N.,Cecchinato M.,28.0,89.0,1.05,11.0,1.06,13.12,1
Wimbledon,Grass,2nd Round,Djokovic N.,Thompson J.,2.0,70.0,1.03,15.0,1.03,21.62,1
Wimbledon,Grass,2nd Round,Wawrinka S.,Etcheverry T.,88.0,32.0,1.5,2.63,1.54,2.66,1
Wimbledon,Grass,2nd Round,Musetti L.,Munar J.,16.0,109.0,1.14,5.5,1.16,6.32,1
Wimbledon,Grass,2nd Round,Marterer M.,Mmoh M.,170.0,119.0,1.8,2.0,1.92,1.99,1
Wimbledon,Grass,2nd Round,Shapovalov D.,Barrere G.,29.0,49.0,1.57,2.38,1.55,2.64,1
Wimbledon,Grass,2nd Round,Broady L.,Ruud C.,142.0,4.0,4.5,1.2,4.58,1.24,1
Wimbledon,Grass,2nd Round,Safiullin R.,Moutet C.,92.0,71.0,1.67,2.2,1.64,2.42,1
Wimbledon,Grass,2nd Round,Goffin D.,Barrios M.,123.0,133.0,1.36,3.2,1.41,3.18,1
Wimbledon,Grass,2nd Round,Pella G.,Mayot H.,308.0,181.0,2.2,1.67,2.37,1.66,1
Wimbledon,Grass,2nd Round,Tiafoe F.,Stricker D.,10.0,117.0,1.2,4.5,1.2,5.33,1
Wimbledon,Grass,2nd Round,Dimitrov G.,Ivashka I.,24.0,102.0,1.17,5.0,1.16,6.16,1
Wimbledon,Grass,2nd Round,O Connell C.,Vesely J.,73.0,528.0,1.91,1.91,1.85,2.07,1
Wimbledon,Grass,2nd Round,Fucsovics M.,Giron M.,67.0,65.0,1.36,3.2,1.46,2.95,1
Wimbledon,Grass,2nd Round,Davidovich Fokina A.,Van De Zandschulp B.,34.0,44.0,1.53,2.5,1.52,2.73,1
Wimbledon,Grass,2nd Round,Alcaraz C.,Muller A.,1.0,84.0,1.02,21.0,1.02,28.92,1
Wimbledon,Grass,2nd Round,Eubanks C.,Norrie C.,43.0,13.0,3.5,1.3,3.9,1.3,1
Wimbledon,Grass,3rd Round,Hurkacz H.,Musetti L.,18.0,16.0,1.62,2.3,1.58,2.54,1
Wimbledon,Grass,3rd Round,Bublik A.,Marterer M.,26.0,170.0,1.14,5.5,1.16,6.33,1
Wimbledon,Grass,3rd Round,Shapovalov D.,Broady L.,29.0,142.0,1.29,3.75,1.31,3.8,1
Wimbledon,Grass,3rd Round,Rublev A.,Goffin D.,7.0,123.0,1.2,4.5,1.2,5.24,1
Wimbledon,Grass,3rd Round,Lehecka J.,Paul T.,37.0,15.0,2.0,1.8,2.17,1.77,1
Wimbledon,Grass,3rd Round,Medvedev D.,Fucsovics M.,3.0,67.0,1.22,4.33,1.21,5.0,1
Wimbledon,Grass,3rd Round,Rune H.,Davidovich Fokina A.,6.0,34.0,1.4,3.0,1.49,2.83,1
Wimbledon,Grass,3rd Round,Berrettini M.,Zverev A.,38.0,21.0,2.0,1.8,2.08,1.84,1
Wimbledon,Grass,4th Round,Rublev A.,Bublik A.,7.0,26.0,1.8,2.0,1.89,2.01,1
Wimbledon,Grass,4th Round,Sinner J.,Galan D.E.,8.0,85.0,1.04,13.0,1.04,16.79,1
Wimbledon,Grass,4th Round,Eubanks C.,Tsitsipas S.,43.0,5.0,3.2,1.36,3.46,1.36,1
Wimbledon,Grass,4th Round,Rune H.,Dimitrov G.,6.0,24.0,2.38,1.57,2.62,1.56,1
Wimbledon,Grass,Quarterfinals,Sinner J.,Safiullin R.,8.0,92.0,1.14,5.5,1.17,6.0,1
Wimbledon,Grass,Quarterfinals,Medvedev D.,Eubanks C.,3.0,43.0,1.17,5.0,1.16,6.35,1
Wimbledon,Grass,Semifinals,Djokovic N.,Sinner J.,2.0,8.0,1.2,4.5,1.25,4.44,1
Wimbledon,Grass,The Final,Alcaraz C.,Djokovic N.,1.0,2.0,2.63,1.53,2.6,1.56,1
US Open,Hard,1st Round,Ofner S.,Borges N.,58.0,79.0,1.67,2.2,1.83,2.1,1
US Open,Hard,1st Round,Cerundolo J.M.,Ivashka I.,93.0,103.0,3.0,1.4,3.22,1.4,1
US Open,Hard,1st Round,Mannarino A.,Watanuki Y.,35.0,85.0,1.5,2.63,1.56,2.59,1
US Open,Hard,1st Round,Davidovich Fokina A.,Giron M.,21.0,62.0,1.44,2.75,1.49,2.84,1
US Open,Hard,1st Round,Ruud C.,Nava E.,5.0,154.0,1.14,5.5,1.17,5.85,1
US Open,Hard,1st Round,Mensik J.,Barrere G.,206.0,59.0,2.1,1.73,2.13,1.8,1
US Open,Hard,1st Round,Hijikata R.,Kotov P.,110.0,98.0,1.73,2.1,1.86,2.05,1
US Open,Hard,1st Round,Cerundolo F.,Svajda Z.,20.0,234.0,1.3,3.5,1.37,3.38,1
US Open,Hard,1st Round,Vesely J.,Couacaud E.,437.0,180.0,2.5,1.53,2.58,1.57,1
US Open,Hard,1st Round,Fritz T.,Johnson S.,9.0,205.0,1.04,13.0,1.05,14.7,1
US Open,Hard,1st Round,Karatsev A.,Lehecka J.,77.0,29.0,2.63,1.5,2.67,1.54,1
US Open,Hard,1st Round,Eubanks C.,Kwon S.W.,30.0,104.0,1.25,4.0,1.3,3.9,1
US Open,Hard,1st Round,Safiullin R.,Cecchinato M.,60.0,109.0,1.07,9.0,1.09,9.79,1
US Open,Hard,1st Round,Stricker D.,Popyrin A.,128.0,41.0,2.38,1.57,2.55,1.58,1
US Open,Hard,1st Round,Tsitsipas S.,Raonic M.,7.0,337.0,1.29,3.75,1.31,3.87,1
US Open,Hard,1st Round,Djokovic N.,Muller A.,2.0,84.0,1.01,29.0,1.01,53.65,1
US Open,Hard,1st Round,Meligeni Alves F.,Duckworth J.,168.0,111.0,1.73,2.1,1.78,2.17,1
US Open,Hard,1st Round,O Connell C.,Purcell M.,69.0,43.0,2.75,1.44,2.66,1.54,1
US Open,Hard,1st Round,Jarry N.,Van Assche L.,25.0,64.0,1.44,2.75,1.46,2.95,1
US Open,Hard,1st Round,Zverev A.,Vukic A.,12.0,50.0,1.08,8.0,1.11,8.25,1
US Open,Hard,1st Round,Mmoh M.,Khachanov K.,89.0,11.0,2.38,1.57,2.63,1.55,1
US Open,Hard,1st Round,Altmaier D.,Lestienne C.,53.0,101.0,1.8,2.0,1.91,1.99,1
US Open,Hard,1st Round,Dimitrov G.,Molcan A.,19.0,115.0,1.17,5.0,1.17,5.92,1
US Open,Hard,1st Round,Murray A.,Moutet C.,37.0,72.0,1.25,4.0,1.32,3.78,1
US Open,Hard,1st Round,Rublev A.,Cazaux A.,8.0,119.0,1.14,5.5,1.14,6.55,1
US Open,Hard,1st Round,Draper J.,Albot R.,123.0,102.0,1.25,4.0,1.24,4.56,1
US Open,Hard,1st Round,De Minaur A.,Skatov T.,13.0,129.0,1.04,13.0,1.05,14.37,1
US Open,Hard,1st Round,Sonego L.,Moreno De Alboran N.,39.0,131.0,1.3,3.5,1.35,3.54,1
US Open,Hard,1st Round,Wawrinka S.,Nishioka Y.,49.0,44.0,1.44,2.75,1.45,2.97,1
US Open,Hard,1st Round,Monfils G.,Daniel T.,162.0,95.0,1.36,3.2,1.35,3.49,1
US Open,Hard,1st Round,Harris L.,Pella G.,177.0,203.0,1.36,3.2,1.4,3.21,1
US Open,Hard,1st Round,Alcaraz C.,Koepfer D.,1.0,75.0,1.01,23.0,1.02,28.61,1
US Open,Hard,2nd Round,Stricker D.,Tsitsipas S.,128.0,7.0,6.0,1.13,6.63,1.15,1
US Open,Hard,2nd Round,Karatsev A.,Carballes Baena R.,77.0,63.0,1.33,3.4,1.37,3.38,1
US Open,Hard,2nd Round,Djokovic N.,Zapata Miralles B.,2.0,76.0,1.01,34.0,1.01,29.09,1
US Open,Hard,2nd Round,Mannarino A.,Marozsan F.,35.0,92.0,1.3,3.5,1.36,3.48,1
US Open,Hard,2nd Round,Hijikata R.,Fucsovics M.,110.0,57.0,3.4,1.33,3.49,1.36,1
US Open,Hard,2nd Round,Davidovich Fokina A.,Cerundolo J.M.,21.0,93.0,1.07,9.0,1.09,9.8,1
